Constituency,Youth_Electorate_Pct,Senior_Electorate_Pct,First_Time_Voter_Pct,Male_Pop,Female_Pop,Female_to_Male_Ratio,Female_Pop_Pct,Pucca_Pct,Semi_Pucca_Pct,Kancha_Pct,Jhupri_Pct,Extreme_Poverty_Pct,Wealth_Polarization_Index,Organized_Learning_Pct,Sanitation_Pct,Electricity_Pct,Clean_Fuel_Pct,NEET_Youth_Pct,Financial_Inclusion_Pct,Internet_Pct,Winning_Party,Winner_Name,Winner_Votes,RunnerUp_Votes,Voter_Turnout_Pct,Total_Valid_Votes,Total_Registered_Voters,YES_Pct,NO_Pct,Coalition,Winner_Vote_Share_Pct,Victory_Margin_Pct,Digital_Youth_Index,Urban_Proxy,WPI_Log,Infrastructure_Composite,Deprivation_Index
Tangail-3,33.42,16.55,12.86,214610.0,234114.0,109.09,52.17,8.12,9.85,81.77,0.26,82.03,0.1,61.83,56.37,99.37,8.78,38.7,42.66,30.96,Independent Candidate,Md. Lutfar Rahman Khan Azad,107901.0,82769.0,61.59,226773.0,377365.0,68.77,31.23,INDEPENDENT_OTHER,47.5810612374489,11.082448086853374,1034.6832000000002,0.7129359999999998,0.09531017980432487,54.84,60.365
Dhaka-7,44.25,7.66,13.58,90886.0,70815.0,78.13,43.56,92.03,5.02,2.79,0.16,2.95,65.67,49.27,63.95,99.79,95.74,22.42,50.02,56.87,Bangladesh Nationalist Party,Hamidur Rahman,104666.0,98483.0,48.01,224226.0,476167.0,,,BNP_COALITION,46.678797284882215,2.757485750983383,2516.4975,88.109522,4.199755076629969,86.49333333333334,12.685
Dinajpur-1,35.14,13.31,13.05,132247.5,133101.0,100.38,50.09,2.76,23.7,73.26,0.29,73.54,0.04,68.89,52.34,99.04,3.59,33.96,54.32,16.6,Bangladesh Nationalist Party,Md. Manjurul Islam,179314.0,117481.0,74.45,302221.0,414353.0,,,BNP_COALITION,59.332078181198526,20.459531270163225,583.3240000000001,0.09908399999999999,0.039220713153281295,51.656666666666666,53.75
Sunamganj-4,44.3,12.61,17.58,740039.0,766640.0,103.2,50.79,11.9,18.61,68.68,0.8,69.48,0.17,54.19,57.82,99.53,16.07,36.15,44.32,28.18,Bangladesh Nationalist Party,Nurul Islam,98092.0,75735.0,56.23,201528.0,368398.0,,,BNP_COALITION,48.67412964947799,11.093743797387956,1248.3739999999998,1.91233,0.15700374880966475,57.806666666666665,52.815
Sunamganj-3,44.12,13.52,18.21,75838.33,80715.67,107.24,51.74,10.72,14.06,74.36,0.86,75.22,0.17,55.19,62.79,99.13,9.88,38.05,42.69,22.83,Bangladesh Nationalist Party,Mohammad Qaisar Ahmed,97313.0,42226.0,43.95,158389.0,369797.0,,,BNP_COALITION,61.43924136145819,34.77956171198757,1007.2595999999999,1.059136,0.15700374880966475,57.26666666666666,56.635
Munshiganj-1,34.99,16.58,13.42,97489.0,106238.67,108.7,52.08,22.3,6.07,71.35,0.28,71.63,0.32,57.4,62.42,99.81,16.34,38.7,45.94,43.42,Bangladesh Nationalist Party,Md. Abdullah,167562.0,101568.0,57.87,303949.0,536485.0,73.1,26.9,BNP_COALITION,55.128327449670834,21.712195138000126,1519.2658000000001,3.64382,0.2776317365982795,59.52333333333334,55.165
Chapai Nawabganj-1,36.98,13.15,13.61,327024.0,339845.0,103.92,50.96,26.92,18.87,53.99,0.23,54.22,0.5,48.73,43.16,98.43,1.85,39.63,39.9,16.74,Bangladesh Jamaat-e-Islami,Md. Keramat Ali,206893.0,162515.0,76.59,368767.0,493816.0,,,JAMAAT_REFORM,56.103989782165975,12.034157069369005,619.0451999999999,0.4980200000000001,0.4054651081081644,47.81333333333333,46.925
Chapai Nawabganj-2,35.53,12.57,13.13,71713.0,74798.25,103.66,50.89,22.45,18.99,58.47,0.1,58.57,0.61,55.25,50.37,98.06,2.55,37.47,45.78,15.29,Bangladesh Jamaat-e-Islami,Md. Mizanur Rahman,171227.0,155119.0,74.6,332560.0,456367.0,,,JAMAAT_REFORM,51.48755111859514,4.843637238393072,543.2537,0.572475,0.4762341789963716,50.326666666666675,48.019999999999996
Dinajpur-6,33.83,14.05,12.14,66592.4,66861.4,101.33,50.32,7.16,32.81,59.93,0.1,60.04,0.17,62.48,55.54,99.42,5.8,36.6,50.93,18.22,Bangladesh Nationalist Party,Abu Zafar Md. Zahid Hossain,205118.0,190703.0,73.62,397922.0,553211.0,,,BNP_COALITION,51.54728816200161,3.6225692472394084,616.3825999999999,0.41528,0.15700374880966475,53.58666666666667,48.32
Gazipur-3,44.95,8.91,12.79,204001.2,184022.6,92.52,48.01,14.28,44.9,40.74,0.08,40.82,0.53,48.87,60.1,99.67,55.57,25.61,58.61,40.89,Bangladesh Nationalist Party,S. M. Rafiqul Islam,162343.0,100539.0,57.5,293168.0,523222.0,70.88,29.12,BNP_COALITION,55.37541614364459,21.081427713802327,1838.0055000000002,7.935396,0.4252677354043441,71.78,33.215
Sylhet-5,45.6,12.06,18.98,138714.0,153727.5,110.62,52.51,9.92,30.39,58.33,1.36,59.69,0.17,48.76,48.18,99.42,6.58,42.49,29.79,28.56,Khelafat Majlis,Mohammad Abul Hasan,79355.0,69774.0,49.03,201933.0,420833.0,,,JAMAAT_REFORM,39.29768784695914,4.744643025161811,1302.336,0.652736,0.15700374880966475,51.39333333333334,51.09
Dhaka-20,39.03,10.94,12.69,150411.0,148773.5,97.48,49.36,38.37,26.04,35.55,0.03,35.58,2.26,57.92,61.04,99.84,58.12,27.21,51.62,40.88,Bangladesh Nationalist Party,Md. Tamij Uddin,162504.0,57787.0,63.55,229606.0,370938.0,,,BNP_COALITION,70.7751539593913,45.60725765006141,1595.5464000000002,22.300644,1.1817271953786161,73.0,31.395
Kishoreganj-5,39.15,14.82,15.75,69297.33,73243.33,104.56,51.11,6.4,10.94,82.48,0.19,82.67,0.08,41.04,40.57,99.31,11.1,38.06,31.43,21.27,Independent Candidate,Sheikh Mojibur Rahman Iqbal,79604.0,66450.0,59.67,204948.0,350101.0,73.39,26.61,INDEPENDENT_OTHER,38.84107188164803,6.4182134004723155,832.7204999999999,0.7104,0.07696104113612832,50.32666666666666,60.365
Munshiganj-2,36.63,15.03,14.12,94480.0,102397.0,108.26,51.98,12.04,4.42,82.26,1.27,83.53,0.14,55.8,54.44,99.7,14.88,38.37,46.12,38.23,Bangladesh Nationalist Party,Abdus Salam Azad,121154.0,58573.0,53.21,193241.0,372832.0,71.89,28.11,BNP_COALITION,62.695804720530326,32.384949363747864,1400.3649,1.791552,0.1310282624064041,56.339999999999996,60.95
Naogaon-3,29.81,16.16,10.66,126990.5,130610.5,103.19,50.78,11.87,18.84,69.18,0.1,69.29,0.17,59.29,56.3,99.48,4.3,36.58,49.96,18.42,Bangladesh Nationalist Party,Md. Fazle Huda,166889.0,119421.0,72.98,311152.0,436902.0,67.85,32.15,BNP_COALITION,53.63584357484444,15.255566411271662,549.1002,0.5104099999999999,0.15700374880966475,53.36000000000001,52.935
Bagerhat-4,32.69,15.55,12.3,54474.75,58475.5,105.4,51.31,19.29,14.1,65.59,1.02,66.6,0.39,57.81,75.0,99.21,9.87,35.91,46.84,25.64,Bangladesh Jamaat-e-Islami,Md. Abdul Alim,116067.0,98326.0,59.99,222047.0,377094.0,62.01,37.99,JAMAAT_REFORM,52.27136597206897,7.989749917810193,838.1716,1.9039229999999998,0.3293037471426004,61.35999999999999,51.254999999999995
Brahmanbaria-6,41.09,14.67,17.53,75552.5,92489.5,110.24,52.27,12.56,12.14,74.88,0.42,75.3,0.17,44.0,67.48,99.53,15.04,43.06,36.99,43.64,Ganosanhati Andolan,Md. Jonaed Abdur Rahim Saki,95342.0,29976.0,52.58,146223.0,284531.0,82.0,18.0,BNP_COALITION,65.20314861547088,44.70295370769304,1793.1676000000002,1.889024,0.15700374880966475,60.68333333333333,59.18
Rajshahi-3,35.08,11.66,11.97,93380.67,92142.67,100.02,50.0,26.98,22.0,50.85,0.18,51.02,0.71,63.11,56.62,99.39,5.42,34.1,47.24,20.35,Bangladesh Nationalist Party,Mohammad Shafiqul Haque Milon,176318.0,137927.0,77.25,317098.0,420837.0,,,BNP_COALITION,55.60363042340223,12.106982699354774,713.878,1.4623160000000002,0.5364933705145685,53.809999999999995,42.56
Sirajganj-4,29.01,19.03,12.45,145460.0,149385.0,108.08,51.91,5.02,15.26,79.67,0.05,79.72,0.06,45.26,56.28,99.72,6.42,33.7,41.23,20.68,Bangladesh Jamaat-e-Islami,Md. Rafiqul Islam Khan,161872.0,161278.0,69.96,324253.0,471626.0,,,JAMAAT_REFORM,49.92151190582662,0.18319028659719416,599.9268000000001,0.32228399999999996,0.058268908123975775,54.13999999999999,56.71
Sylhet-4,47.8,10.81,19.87,92872.0,94617.25,102.76,50.68,11.43,24.58,61.78,2.21,63.98,0.19,45.3,37.06,98.03,6.83,43.91,31.3,23.73,Bangladesh Nationalist Party,Ariful Haque Chowdhury,181609.0,65776.0,52.65,260479.0,508110.0,,,BNP_COALITION,69.72116754133731,44.469227845622875,1134.2939999999999,0.7806690000000001,0.173953307123438,47.30666666666667,53.94499999999999
Faridpur-3,37.98,14.16,13.77,665548.0,699639.5,104.05,50.99,16.25,16.54,67.04,0.16,67.2,0.25,48.56,69.5,99.62,10.93,35.16,47.84,32.52,Bangladesh Nationalist Party,Nayab Yusuf Ahmed,148545.0,124115.0,65.69,276702.0,428778.0,68.98,31.02,BNP_COALITION,53.68410781273717,8.828992923795274,1235.1096,1.7761249999999997,0.22314355131420976,60.01666666666667,51.18
Chattogram-11,48.36,5.83,13.2,90752.5,83689.0,92.35,48.01,77.64,16.61,5.41,0.34,5.75,21.1,48.46,69.02,99.68,96.16,23.93,53.33,49.18,Bangladesh Nationalist Party,Amir Khasru Mahmud Chowdhury,115999.0,76681.0,41.36,198317.0,489336.0,65.37,34.63,BNP_COALITION,58.49170772046774,19.825834396446094,2378.3448,74.658624,3.0955776085237074,88.28666666666668,14.84
Sunamganj-1,42.27,12.07,16.49,42615.5,42395.0,100.63,50.15,12.93,11.74,74.7,0.63,75.33,1.72,58.13,59.76,99.61,13.19,34.91,51.4,26.7,Bangladesh Nationalist Party,Kamruzzaman Kamrul,161774.0,92966.0,52.09,253366.0,497719.0,,,BNP_COALITION,63.849924614983856,27.157550736878665,1128.6090000000002,1.7054669999999998,1.000631880307906,57.52,55.12
Dhaka-5,43.83,7.48,14.82,207436.0,178062.0,86.88,46.47,77.1,16.08,6.68,0.13,6.82,12.67,51.14,61.49,99.88,95.71,28.2,48.72,47.49,Bangladesh Jamaat-e-Islami,Mohammad Kamal Hossain,96641.0,87491.0,48.55,198351.0,415455.0,74.96,25.04,JAMAAT_REFORM,48.72221465987063,4.613034469198542,2081.4867,73.79240999999999,2.6152036507358583,85.69333333333333,17.509999999999998
Pabna-1,37.06,14.53,13.77,89806.75,91195.25,100.92,50.23,6.98,9.65,83.31,0.06,83.37,0.08,48.04,51.01,99.56,6.66,36.34,45.54,21.99,Bangladesh Jamaat-e-Islami,Mohammad Najibur Rahman,129974.0,104245.0,70.63,234257.0,337720.0,,,JAMAAT_REFORM,55.483507429874024,10.983236360066082,814.9494,0.464868,0.07696104113612832,52.41,59.855000000000004
